Date/Time,ActivePower,WindSpeed,Power,WindDirection,Time,TimeDiff,Gust
25 01 2018 00:50,0,10.65347958,3135.866391,35.99605942,50,10,0.341869354
25 01 2018 01:00,0,11.56260967,3436.909456,38.68833923,0,-50,0.909130096
25 01 2018 01:10,0,10.80895042,3200.733669,39.85438919,10,10,-0.753659248
25 01 2018 01:20,0,11.21879005,3344.341585,39.06478882,20,10,0.40983963
25 01 2018 01:30,0,10.99654961,3271.222416,38.3620491,30,10,-0.222240448
25 01 2018 01:40,0,10.22618008,2924.903305,35.15655136,40,10,-0.77036953
25 01 2018 01:50,0,11.24895,3353.435143,37.52738953,50,10,1.022769928
25 01 2018 02:00,0,11.89000988,3503.801053,36.70964813,0,-50,0.641059875
25 01 2018 02:10,0,11.22591019,3346.50584,24.11603928,10,10,-0.664099693
25 01 2018 02:20,0,10.52840996,3079.226218,34.11162186,20,10,-0.697500229
25 01 2018 02:30,0,9.679788589,2576.379036,40.28010178,30,10,-0.848621368
25 01 2018 02:40,0,8.293682098,1702.391563,38.17469025,40,10,-1.386106491
25 01 2018 02:50,0,9.464027405,2446.372595,36.13618851,50,10,1.170345306
25 01 2018 03:00,0,8.812766075,2024.059526,32.06079102,0,-50,-0.65126133
25 01 2018 03:10,0,7.837561131,1438.392245,41.98936081,10,10,-0.975204945
25 01 2018 03:20,0,8.75455761,1987.126191,49.62844086,20,10,0.916996479
25 01 2018 03:30,0,8.608436584,1895.271906,47.39588165,30,10,-0.146121025
25 01 2018 03:40,0,9.204309464,2276.445337,50.79972839,40,10,0.595872879
25 01 2018 03:50,0,8.445554733,1794.527776,48.95594025,50,10,-0.75875473
25 01 2018 04:00,0,7.845445156,1442.770815,45.3971405,0,-50,-0.600109577
25 01 2018 04:10,0,8.313373566,1714.231613,39.79737091,10,10,0.46792841
25 01 2018 04:20,0,8.100633621,1588.141314,33.44955063,20,10,-0.212739944
25 01 2018 04:30,0,10.4078598,3020.70866,41.76433182,30,10,2.307226181
25 01 2018 04:40,0,9.701245308,2591.906419,36.63743973,40,10,-0.706614494
25 01 2018 04:50,0,10.8217001,3205.789091,37.08296967,50,10,1.120454788
25 01 2018 05:00,0,9.540787697,2471.87756,37.12395859,0,-50,-1.280912399
25 01 2018 05:10,0,11.02768993,3282.131071,35.17906189,10,10,1.486902237
25 01 2018 05:20,0,11.04714012,3288.832988,37.06734085,20,10,0.019450188
25 01 2018 05:30,0,11.24532032,3352.35098,35.97718048,30,10,0.198180199
25 01 2018 05:40,0,10.38057041,3006.911513,31.3361702,40,10,-0.864749908
25 01 2018 05:50,0,10.81836033,3204.468631,33.74766922,50,10,0.437789917
25 01 2018 06:00,0,10.31455994,2972.678227,40.65581894,0,-50,-0.503800392
25 01 2018 06:10,0,9.315612793,2349.111422,47.3547287,10,10,-0.998947144
25 01 2018 06:20,0,10.29636955,2963.028391,46.10012054,20,10,0.98075676
